recorded_at,nvidia_timestamp,name,driver_version,pstate,temperature_c,gpu_util_percent,memory_used_mib,memory_total_mib,power_w,power_limit_w,graphics_clock_mhz,memory_clock_mhz,pcie_generation,pcie_width
2026-08-31T16:21:17.0688249+07:00,2026/08/31 16:21:17.115, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 728, 8151, 9.49, 145.00, 360, 405, 1, 8
2026-08-31T16:21:22.2117885+07:00,2026/08/31 16:21:22.242, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 2, 765, 8151, 11.47, 145.00, 787, 405, 1, 8
2026-08-31T16:21:27.2488342+07:00,2026/08/31 16:21:27.279, NVIDIA GeForce RTX 5060, 591.86, P5, 31, 0, 727, 8151, 14.67, 145.00, 615, 810, 2, 8
2026-08-31T16:21:32.2993705+07:00,2026/08/31 16:21:32.330, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 729, 8151, 9.46, 145.00, 367, 405, 1, 8
2026-08-31T16:21:37.3417829+07:00,2026/08/31 16:21:37.372, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 731, 8151, 9.70, 145.00, 480, 405, 1, 8
2026-08-31T16:21:42.3940153+07:00,2026/08/31 16:21:42.424, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 728, 8151, 9.44, 145.00, 367, 405, 1, 8
2026-08-31T16:21:47.4459841+07:00,2026/08/31 16:21:47.476, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 722, 8151, 9.40, 145.00, 397, 405, 1, 8
2026-08-31T16:21:52.5269070+07:00,2026/08/31 16:21:52.557, NVIDIA GeForce RTX 5060, 591.86, P0, 31, 0, 735, 8151, 17.18, 145.00, 1545, 14201, 4, 8
2026-08-31T16:21:57.5786354+07:00,2026/08/31 16:21:57.608, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 838, 8151, 8.92, 145.00, 307, 405, 1, 8
2026-08-31T16:22:02.6228113+07:00,2026/08/31 16:22:02.667, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 839, 8151, 8.48, 145.00, 210, 405, 1, 8
2026-08-31T16:22:07.6825574+07:00,2026/08/31 16:22:07.712, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 821, 8151, 8.46, 145.00, 232, 405, 1, 8
2026-08-31T16:22:12.7247749+07:00,2026/08/31 16:22:12.769, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 821, 8151, 8.48, 145.00, 210, 405, 1, 8
