epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.69003,0.89503,4.57664,1.18449,0.64543,0.33333,0.72541,0.54454,1.35533,3.3812,1.2466,0,0,0
2,16.3552,1.4472,3.83786,1.69842,0.64543,0.33333,0.72541,0.54454,1.35533,3.3812,1.2466,3.9274e-05,3.9274e-05,3.9274e-05
3,24.8398,1.02211,4.26911,1.55884,0.64543,0.33333,0.72541,0.54454,1.35533,3.3812,1.2466,7.77625e-05,7.77625e-05,7.77625e-05
4,34.382,1.2425,4.35603,1.58154,0.24052,0.86667,0.5972,0.4281,1.32965,3.23945,1.25019,0.000115466,0.000115466,0.000115466
5,43.3084,0.91852,2.82549,1.36089,0.24052,0.86667,0.5972,0.4281,1.32965,3.23945,1.25019,0.000114288,0.000114288,0.000114288
6,52.4195,1.04788,3.24472,1.49466,0.24052,0.86667,0.5972,0.4281,1.32965,3.23945,1.25019,0.00011311,0.00011311,0.00011311
7,60.95,0.8614,2.32729,1.19324,0.26498,0.58333,0.41755,0.36221,1.31941,3.62656,1.26813,0.000111931,0.000111931,0.000111931
8,69.5266,0.6748,1.52575,1.10731,0.26498,0.58333,0.41755,0.36221,1.31941,3.62656,1.26813,0.000110753,0.000110753,0.000110753
9,77.979,0.83135,1.55339,1.2177,0.26498,0.58333,0.41755,0.36221,1.31941,3.62656,1.26813,0.000109575,0.000109575,0.000109575
10,86.9993,0.87019,1.84722,1.39287,0.31324,0.58333,0.41268,0.37518,1.30508,4.41327,1.2913,0.000108397,0.000108397,0.000108397
11,95.7845,0.82472,1.20189,1.19881,0.31324,0.58333,0.41268,0.37518,1.30508,4.41327,1.2913,0.000107219,0.000107219,0.000107219
12,103.6,0.72849,1.10573,1.14869,0.31324,0.58333,0.41268,0.37518,1.30508,4.41327,1.2913,0.000106041,0.000106041,0.000106041
13,113.114,0.71559,1.37854,1.16829,0.47285,0.58333,0.40953,0.33891,1.34219,5.32096,1.3139,0.000104863,0.000104863,0.000104863
14,122.352,0.7451,1.45804,1.28103,0.47285,0.58333,0.40953,0.33891,1.34219,5.32096,1.3139,0.000103685,0.000103685,0.000103685
15,131.826,0.7543,1.73371,1.02258,0.47285,0.58333,0.40953,0.33891,1.34219,5.32096,1.3139,0.000102507,0.000102507,0.000102507
16,140.008,0.61286,1.18621,1.07558,0.46724,0.56667,0.39489,0.32979,1.36527,6.16309,1.33891,0.000101329,0.000101329,0.000101329
17,148.075,0.54774,0.88625,1.0261,0.46724,0.56667,0.39489,0.32979,1.36527,6.16309,1.33891,0.00010015,0.00010015,0.00010015
18,158.162,0.57411,0.99394,1.08318,0.46724,0.56667,0.39489,0.32979,1.36527,6.16309,1.33891,9.89723e-05,9.89723e-05,9.89723e-05
19,167.831,0.60353,0.93949,1.00838,0.33386,0.38333,0.21562,0.17777,1.44666,6.33497,1.35525,9.77942e-05,9.77942e-05,9.77942e-05
20,177.844,0.56293,0.97906,1.08988,0.33386,0.38333,0.21562,0.17777,1.44666,6.33497,1.35525,9.66161e-05,9.66161e-05,9.66161e-05
21,187.776,0.70367,1.08893,1.18455,0.33386,0.38333,0.21562,0.17777,1.44666,6.33497,1.35525,9.5438e-05,9.5438e-05,9.5438e-05
