epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,0.779449,1.33056,2.58918,0.01381,0.84474,0.65478,0.89762,0.67459,1.53815,1.03723,0.01128,0,0,0
2,1.47895,1.47635,2.47223,0.01785,0.84474,0.65478,0.89762,0.66634,1.53815,1.03723,0.01128,3.9274e-05,3.9274e-05,3.9274e-05
3,2.24998,1.26594,2.34089,0.01915,0.84474,0.65478,0.89762,0.66634,1.53815,1.03723,0.01128,7.77625e-05,7.77625e-05,7.77625e-05
4,2.98126,1.6024,3.05365,0.02114,0.84232,0.68214,0.90066,0.66151,1.58252,1.04222,0.01168,0.000115466,0.000115466,0.000115466
5,3.66931,1.27501,3.08745,0.02235,0.84232,0.68214,0.90066,0.66151,1.58252,1.04222,0.01168,0.000114288,0.000114288,0.000114288
6,4.46871,1.32203,3.63083,0.02687,0.84232,0.68214,0.90066,0.66151,1.58252,1.04222,0.01168,0.00011311,0.00011311,0.00011311
7,5.176,1.15019,2.43632,0.01241,0.83884,0.68562,0.90387,0.66234,1.56664,1.05425,0.0115,0.000111931,0.000111931,0.000111931
8,5.90177,0.98902,2.55614,0.01308,0.83884,0.68562,0.90387,0.66234,1.56664,1.05425,0.0115,0.000110753,0.000110753,0.000110753
9,6.63997,1.20725,2.35857,0.01446,0.83884,0.68562,0.90387,0.66234,1.56664,1.05425,0.0115,0.000109575,0.000109575,0.000109575
10,7.34417,1.13778,2.23408,0.01532,0.80626,0.66859,0.87269,0.64701,1.6455,1.03905,0.01285,0.000108397,0.000108397,0.000108397
11,8.22175,1.26517,1.99536,0.01375,0.80626,0.66859,0.87269,0.64701,1.6455,1.03905,0.01285,0.000107219,0.000107219,0.000107219
12,9.10956,1.16042,1.69808,0.01297,0.80626,0.66859,0.87269,0.64701,1.6455,1.03905,0.01285,0.000106041,0.000106041,0.000106041
13,10.013,1.17943,2.34459,0.0127,0.73748,0.66886,0.86093,0.62611,1.6736,1.09699,0.0134,0.000104863,0.000104863,0.000104863
14,11.0746,0.97056,2.05125,0.01704,0.73748,0.66886,0.86093,0.62611,1.6736,1.09699,0.0134,0.000103685,0.000103685,0.000103685
15,12.0451,1.41072,2.49601,0.01493,0.73748,0.66886,0.86093,0.62611,1.6736,1.09699,0.0134,0.000102507,0.000102507,0.000102507
16,12.9325,1.0561,1.84252,0.01239,0.7168,0.67321,0.82451,0.5653,1.67294,1.15358,0.01328,0.000101329,0.000101329,0.000101329
17,13.814,0.90901,1.12836,0.01164,0.7168,0.67321,0.82451,0.5653,1.67294,1.15358,0.01328,0.00010015,0.00010015,0.00010015
18,14.7221,1.12421,1.09336,0.01256,0.7168,0.67321,0.82451,0.5653,1.67294,1.15358,0.01328,9.89723e-05,9.89723e-05,9.89723e-05
19,15.6531,0.95963,1.10759,0.00878,0.71837,0.66838,0.81844,0.57875,1.65923,1.19372,0.01273,9.77942e-05,9.77942e-05,9.77942e-05
20,16.6047,0.94343,1.54672,0.01588,0.71837,0.66838,0.81844,0.57875,1.65923,1.19372,0.01273,9.66161e-05,9.66161e-05,9.66161e-05
21,17.4551,0.85197,1.58843,0.01235,0.71837,0.66838,0.81844,0.57875,1.65923,1.19372,0.01273,9.5438e-05,9.5438e-05,9.5438e-05
22,18.3235,0.97822,1.18104,0.00947,0.72019,0.65814,0.8249,0.56658,1.64597,1.21818,0.01225,9.42599e-05,9.42599e-05,9.42599e-05
23,19.2273,1.0259,1.15096,0.01447,0.72019,0.65814,0.8249,0.56658,1.64597,1.21818,0.01225,9.30818e-05,9.30818e-05,9.30818e-05
24,20.1238,1.32136,1.87767,0.02654,0.72019,0.65814,0.8249,0.56658,1.64597,1.21818,0.01225,9.19037e-05,9.19037e-05,9.19037e-05
25,21.0543,0.73955,0.90965,0.01046,0.71817,0.66126,0.83575,0.59363,1.63616,1.27755,0.01164,9.07256e-05,9.07256e-05,9.07256e-05
26,21.9193,0.86619,0.95451,0.00815,0.71817,0.66126,0.83575,0.59363,1.63616,1.27755,0.01164,8.95475e-05,8.95475e-05,8.95475e-05
27,22.7798,0.8972,1.22334,0.0116,0.71817,0.66126,0.83575,0.59363,1.63616,1.27755,0.01164,8.83694e-05,8.83694e-05,8.83694e-05
28,23.7764,1.04077,1.11277,0.01809,0.64078,0.67734,0.75029,0.54337,1.59532,1.40328,0.01134,8.71913e-05,8.71913e-05,8.71913e-05
29,24.6441,0.96995,1.32781,0.00997,0.64078,0.67734,0.75029,0.54337,1.59532,1.40328,0.01134,8.60132e-05,8.60132e-05,8.60132e-05
30,25.5292,1.28867,1.55193,0.02409,0.64078,0.67734,0.75029,0.54337,1.59532,1.40328,0.01134,8.48351e-05,8.48351e-05,8.48351e-05
31,26.4097,0.78751,0.8883,0.01299,0.59614,0.51021,0.68811,0.49304,1.56203,1.58283,0.0106,8.3657e-05,8.3657e-05,8.3657e-05
32,27.2914,0.934,0.78614,0.01169,0.59614,0.51021,0.68811,0.49304,1.56203,1.58283,0.0106,8.24789e-05,8.24789e-05,8.24789e-05
33,28.2174,1.07466,3.03142,0.0163,0.59614,0.51021,0.68811,0.49304,1.56203,1.58283,0.0106,8.13008e-05,8.13008e-05,8.13008e-05
34,29.2013,0.84932,0.7157,0.0124,0.56716,0.43018,0.64208,0.46312,1.75189,1.40092,0.01398,8.01227e-05,8.01227e-05,8.01227e-05
35,30.0791,0.90079,1.00808,0.01768,0.56716,0.43018,0.64208,0.46312,1.75189,1.40092,0.01398,7.89446e-05,7.89446e-05,7.89446e-05
36,30.9801,0.99921,1.38059,0.00848,0.56716,0.43018,0.64208,0.46312,1.75189,1.40092,0.01398,7.77665e-05,7.77665e-05,7.77665e-05
37,31.9068,0.89776,0.91777,0.01529,0.547,0.41667,0.64537,0.46742,1.76835,1.42344,0.01459,7.65884e-05,7.65884e-05,7.65884e-05
38,32.8032,0.84335,0.83117,0.00737,0.547,0.41667,0.64537,0.46742,1.76835,1.42344,0.01459,7.54103e-05,7.54103e-05,7.54103e-05
39,33.6791,0.87591,1.26531,0.01023,0.547,0.41667,0.64537,0.46742,1.76835,1.42344,0.01459,7.42322e-05,7.42322e-05,7.42322e-05
40,34.561,0.81676,0.84692,0.00914,0.53056,0.41366,0.63648,0.45366,1.8002,1.44574,0.01526,7.30541e-05,7.30541e-05,7.30541e-05
41,35.535,1.07223,1.55128,0.01864,0.53056,0.41366,0.63648,0.45366,1.8002,1.44574,0.01526,7.1876e-05,7.1876e-05,7.1876e-05
42,36.4192,0.90048,1.03119,0.01195,0.53056,0.41366,0.63648,0.45366,1.8002,1.44574,0.01526,7.06979e-05,7.06979e-05,7.06979e-05
43,37.3402,0.9293,0.78559,0.0085,0.5616,0.4,0.63424,0.44249,1.80967,1.45853,0.01546,6.95198e-05,6.95198e-05,6.95198e-05
44,38.2623,0.83665,0.76326,0.01099,0.5616,0.4,0.63424,0.44249,1.80967,1.45853,0.01546,6.83417e-05,6.83417e-05,6.83417e-05
45,39.1458,0.83247,0.93234,0.01592,0.5616,0.4,0.63424,0.44249,1.80967,1.45853,0.01546,6.71636e-05,6.71636e-05,6.71636e-05
46,40.0431,0.78767,0.71723,0.00722,0.56363,0.4,0.62758,0.44172,1.82121,1.48361,0.01573,6.59855e-05,6.59855e-05,6.59855e-05
47,40.9936,0.78795,0.63675,0.0078,0.56363,0.4,0.62758,0.44172,1.82121,1.48361,0.01573,6.48074e-05,6.48074e-05,6.48074e-05
48,41.8975,0.77607,0.70831,0.0102,0.56363,0.4,0.62758,0.44172,1.82121,1.48361,0.01573,6.36293e-05,6.36293e-05,6.36293e-05
49,42.8464,1.0937,1.17448,0.01243,0.56564,0.4,0.62831,0.43476,1.86212,1.48843,0.01625,6.24512e-05,6.24512e-05,6.24512e-05
50,43.734,1.03029,1.46825,0.02265,0.56564,0.4,0.62831,0.43476,1.86212,1.48843,0.01625,6.12731e-05,6.12731e-05,6.12731e-05
51,44.714,0.80175,0.72537,0.00876,0.56564,0.4,0.62831,0.43476,1.86212,1.48843,0.01625,6.0095e-05,6.0095e-05,6.0095e-05
52,45.6474,0.71495,1.73786,0.01779,0.56023,0.41043,0.6401,0.43142,1.89049,1.45983,0.01668,5.89169e-05,5.89169e-05,5.89169e-05
53,46.5167,0.9692,1.32287,0.0155,0.56023,0.41043,0.6401,0.43142,1.89049,1.45983,0.01668,5.77388e-05,5.77388e-05,5.77388e-05
54,47.5166,0.7485,0.90256,0.01099,0.56023,0.41043,0.6401,0.43142,1.89049,1.45983,0.01668,5.65607e-05,5.65607e-05,5.65607e-05
55,48.4193,0.83058,0.75577,0.01009,0.55796,0.4816,0.65822,0.41825,1.90497,1.48893,0.01671,5.53826e-05,5.53826e-05,5.53826e-05
56,49.2549,1.10139,0.95482,0.01596,0.55796,0.4816,0.65822,0.41825,1.90497,1.48893,0.01671,5.42045e-05,5.42045e-05,5.42045e-05
