epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.32243,0.74053,4.10067,1.2077,0.63486,0.33333,0.72329,0.54286,1.35593,3.37562,1.24945,0,0,0
2,17.4144,0.91616,3.84247,1.25789,0.63486,0.33333,0.72329,0.54286,1.35593,3.37562,1.24945,3.9274e-05,3.9274e-05,3.9274e-05
3,27.5923,0.79307,4.51752,1.3005,0.63486,0.33333,0.72329,0.54286,1.35593,3.37562,1.24945,7.77625e-05,7.77625e-05,7.77625e-05
4,37.4108,1.03321,4.18917,1.79233,0.30324,0.68333,0.62806,0.45875,1.31627,3.28643,1.22541,0.000115466,0.000115466,0.000115466
5,46.311,1.14611,2.97737,1.60746,0.30324,0.68333,0.62806,0.45875,1.31627,3.28643,1.22541,0.000114288,0.000114288,0.000114288
6,55.5076,0.78646,2.45831,1.17721,0.30324,0.68333,0.62806,0.45875,1.31627,3.28643,1.22541,0.00011311,0.00011311,0.00011311
7,65.0437,0.80724,2.50422,1.21123,0.23108,0.68333,0.50097,0.41759,1.31546,3.67002,1.21854,0.000111931,0.000111931,0.000111931
8,74.4083,0.53282,1.41794,1.00686,0.23108,0.68333,0.50097,0.41759,1.31546,3.67002,1.21854,0.000110753,0.000110753,0.000110753
9,84.3586,0.81958,2.13015,1.21066,0.23108,0.68333,0.50097,0.41759,1.31546,3.67002,1.21854,0.000109575,0.000109575,0.000109575
10,95.1378,0.67219,1.45697,1.07819,0.28416,0.58333,0.40444,0.32975,1.32611,4.52185,1.22528,0.000108397,0.000108397,0.000108397
11,104.857,0.79468,1.71941,1.11965,0.28416,0.58333,0.40444,0.32975,1.32611,4.52185,1.22528,0.000107219,0.000107219,0.000107219
12,114.427,0.71712,1.4604,1.22432,0.28416,0.58333,0.40444,0.32975,1.32611,4.52185,1.22528,0.000106041,0.000106041,0.000106041
13,124.445,0.75063,1.90843,1.29411,0.32407,0.41667,0.40583,0.32878,1.32488,5.28385,1.23536,0.000104863,0.000104863,0.000104863
14,134.602,0.76149,1.23559,1.14527,0.32407,0.41667,0.40583,0.32878,1.32488,5.28385,1.23536,0.000103685,0.000103685,0.000103685
15,144.452,0.82858,1.29182,1.31351,0.32407,0.41667,0.40583,0.32878,1.32488,5.28385,1.23536,0.000102507,0.000102507,0.000102507
16,154.983,0.77365,1.2477,1.3852,0.32083,0.4,0.39083,0.33521,1.3534,5.6448,1.25336,0.000101329,0.000101329,0.000101329
17,165.262,0.71714,1.12618,1.29512,0.32083,0.4,0.39083,0.33521,1.3534,5.6448,1.25336,0.00010015,0.00010015,0.00010015
18,175.498,0.70511,1.00798,1.12309,0.32083,0.4,0.39083,0.33521,1.3534,5.6448,1.25336,9.89723e-05,9.89723e-05,9.89723e-05
19,185.682,0.67632,0.98236,1.07436,0.32381,0.4,0.39083,0.31863,1.40038,5.77946,1.28693,9.77942e-05,9.77942e-05,9.77942e-05
20,193.959,0.67014,1.03007,1.05064,0.32381,0.4,0.39083,0.31863,1.40038,5.77946,1.28693,9.66161e-05,9.66161e-05,9.66161e-05
21,210.135,0.76397,1.48578,1.29052,0.32381,0.4,0.39083,0.31863,1.40038,5.77946,1.28693,9.5438e-05,9.5438e-05,9.5438e-05
22,219.924,0.64036,1.11227,1.23619,0.31111,0.36667,0.36417,0.30817,1.43724,5.64708,1.30931,9.42599e-05,9.42599e-05,9.42599e-05
23,229.527,0.71226,0.95852,1.0843,0.31111,0.36667,0.36417,0.30817,1.43724,5.64708,1.30931,9.30818e-05,9.30818e-05,9.30818e-05
24,239.132,0.7259,1.02455,1.14274,0.31111,0.36667,0.36417,0.30817,1.43724,5.64708,1.30931,9.19037e-05,9.19037e-05,9.19037e-05
